Time / s	
130	0.166884
130.4	0.166025
130.8	0.16507
131.2	0.164083
131.6	0.163066
132	0.16205
132.4	0.161019
132.8	0.159968
133.2	0.158912
133.6	0.157931
134	0.156917
134.4	0.155931
134.8	0.154983
135.2	0.154016
135.6	0.153138
136	0.152276
136.4	0.151447
136.8	0.150636
137.2	0.149871
137.6	0.149271
138	0.149004
138.4	0.14993
138.8	0.152281
139.2	0.155289
139.6	0.158229
140	0.160611
140.4	0.162474
140.8	0.164087
141.2	0.165433
141.6	0.166728
142	0.167435
142.4	0.16849
142.8	0.169047
143.2	0.169679
143.6	0.169912
144	0.170583
144.4	0.170916
144.8	0.17111
145.2	0.171298
145.6	0.171398
146	0.171608
146.4	0.171614
146.8	0.171687
147.2	0.171789
147.6	0.171743
148	0.17195
148.4	0.17198
148.8	0.171945
149.2	0.171897
149.6	0.172018
150	0.17197
150.4	0.172019
150.8	0.172011
151.2	0.171988
151.6	0.172011
152	0.17201
152.4	0.17204
152.8	0.172027
153.2	0.172064
153.6	0.171947
154	0.172051
154.4	0.172034
154.8	0.172051
155.2	0.172044
155.6	0.172027
156	0.171992
156.4	0.172004
156.8	0.172012
157.2	0.171974
157.6	0.171954
158	0.171977
158.4	0.171815
158.8	0.171949
159.2	0.171932
159.6	0.171902
160	0.171921
160.4	0.171896
160.8	0.171911
161.2	0.171876
161.6	0.171871
162	0.17185
162.4	0.171773
162.8	0.171814
163.2	0.171818
163.6	0.171815
164	0.171827
164.4	0.171779
164.8	0.171765
165.2	0.171763
165.6	0.171751
166	0.171756
166.4	0.171745
166.8	0.171745
167.2	0.171741
167.6	0.171716
168	0.171708
168.4	0.171676
168.8	0.171659
169.2	0.171676
169.6	0.171667
170	0.171608
170.4	0.171652
170.8	0.171632
171.2	0.171636
171.6	0.171622
172	0.171612
172.4	0.171614
172.8	0.171548
173.2	0.171537
173.6	0.171483
174	0.171528
174.4	0.171562
174.8	0.171499
175.2	0.171503
175.6	0.171563
176	0.171507
176.4	0.171386
176.8	0.171536
177.2	0.171489
177.6	0.171514
178	0.17148
178.4	0.171498
