Linear Cyclic Voltammetry
E begin (V)	-0.4
E vertex1 (V)	0.4
E vertex2 (V)	-0.4
E step (V)	0.005
Scan rate (V/s)	0.05
Scan number	2.0
-tear-
Voltage (V)	Current (uA)
-0.3997100830078125	-97.97420501708984
-0.39926147460937506	-74.40357208251955
-0.39933624267578127	-66.52177174886069
-0.39881286621093753	-61.677424112955734
-0.39851379394531256	-58.05117289225261
-0.3983642578125	-55.15079498291016
-0.3983642578125	-52.72083282470704
-0.39791564941406254	-50.62109629313151
-0.3975418090820313	-48.786163330078125
-0.3973922729492188	-47.15372721354167
-0.39709320068359377	-45.68328857421876
-0.3969436645507813	-44.35615539550782
-0.39649505615234376	-43.144289652506515
-0.3961959838867188	-42.03523000081381
-0.3961212158203125	-41.00716908772787
-0.3958969116210938	-40.047645568847656
-0.39552307128906256	-39.159774780273445
-0.39537353515625	-38.33109537760417
-0.3952239990234375	-37.54291534423828
-0.3947006225585938	-36.813926696777344
-0.3945510864257813	-36.125437418619796
-0.39432678222656253	-35.47121683756511
-0.39410247802734377	-34.85126495361328
-0.393878173828125	-34.26558176676433
-0.39350433349609376	-33.701705932617195
-0.39335479736328127	-33.168983459472656
-0.3931304931640625	-32.664299011230476
-0.39298095703125	-32.17830657958985
-0.3923828125	-31.71412150065104
-0.3923080444335938	-31.268628438313804
-0.39208374023437503	-30.84182739257813
-0.39178466796875006	-30.430603027343754
-0.3915603637695313	-30.031840006510414
-0.39118652343750004	-29.65488433837891
-0.39118652343750004	-29.2935053507487
-0.3909622192382813	-28.938357035319015
-0.39058837890625003	-28.598785400390625
-0.39028930664062506	-28.26544443766276
-0.38976593017578126	-27.9476801554362
-0.38976593017578126	-27.64237721761068
-0.3894668579101563	-27.346420288085938
-0.3893173217773438	-27.05980936686198
-0.3891677856445313	-26.77631378173828
-0.38886871337890627	-26.50527954101563
-0.3885696411132813	-26.240475972493492
-0.3884201049804688	-25.981903076171875
-0.38804626464843756	-25.735791524251304
-0.387896728515625	-25.492795308430992
-0.3876724243164063	-25.26537577311198
-0.38744812011718754	-25.02861022949219
-0.3871490478515625	-24.8074213663737
-0.38662567138671877	-24.592463175455734
-0.38655090332031256	-24.380620320638023
-0.38655090332031256	-24.171892801920574
-0.38610229492187503	-23.972511291503906
-0.38587799072265627	-23.7762451171875
-0.3856536865234375	-23.579978942871097
-0.38520507812500004	-23.399289449055992
-0.38505554199218756	-23.212369283040367
-0.3849807739257813	-23.031679789225265
-0.38460693359375003	-22.8634516398112
-0.38430786132812506	-22.685877482096355
-0.3841583251953125	-22.520764668782554
-0.3839340209960938	-22.35253651936849
-0.3834854125976563	-22.203000386555992
-0.38341064453125	-22.04100290934245
-0.3831863403320313	-21.88523610432943
-0.3828125	-21.735699971516926
-0.382513427734375	-21.58616383870443
-0.38236389160156253	-21.439743041992188
-0.3817657470703125	-21.302668253580734
-0.381915283203125	-21.156247456868492
-0.38161621093750003	-21.019172668457035
-0.381317138671875	-20.891443888346355
-0.3810928344726563	-20.75748443603516
-0.38086853027343753	-20.635986328125
-0.38064422607421877	-20.498911539713546
-0.3803451538085938	-20.377413431803387
-0.37997131347656254	-20.25903065999349
-0.3797470092773438	-20.134417215983074
-0.3797470092773438	-20.019149780273438
-0.37944793701171875	-19.900767008463543
-0.378924560546875	-19.785499572753906
-0.3788497924804688	-19.67334747314453
-0.37862548828125003	-19.558080037434895
-0.378326416015625	-19.452158610026043
-0.3781021118164063	-19.346237182617188
-0.37795257568359375	-19.246546427408855
-0.3775787353515625	-19.137509663899742
-0.37742919921875	-19.034703572591148
-0.37705535888671876	-18.941243489583336
-0.37690582275390627	-18.83532206217448
-0.37645721435546875	-18.741861979166664
-0.37645721435546875	-18.642171223958332
-0.3760833740234375	-18.548711140950523
-0.3757843017578125	-18.458366394042972
-0.37555999755859376	-18.364906311035156
-0.375335693359375	-18.277676900227867
-0.37496185302734375	-18.187332153320316
-0.37473754882812504	-18.09698740641276
-0.3745132446289063	-18.01598866780599
-0.3745132446289063	-17.928759256998703
-0.37413940429687503	-17.841529846191406
-0.37384033203125	-17.760531107584633
-0.373541259765625	-17.676417032877605
-0.37331695556640626	-17.595418294270832
-0.3730178833007813	-17.520650227864586
-0.3730926513671875	-17.442766825358074
-0.37256927490234376	-17.3617680867513
-0.372344970703125	-17.28388468424479
-0.3721206665039063	-17.212231953938804
-0.37174682617187504	-17.13123321533203
-0.3715225219726563	-17.05334981282552
-0.3713729858398438	-16.984812418619793
-0.37114868164062503	-16.91004435221354
-0.37092437744140627	-16.841506958007812
-0.3707000732421875	-16.772969563802086
-0.37032623291015626	-16.701316833496097
-0.37025146484375004	-16.63589477539063
-0.3698028564453125	-16.567357381184898
-0.3698028564453125	-16.498819986979168
-0.36965332031250003	-16.430282592773438
-0.3692047119140625	-16.36486053466797
-0.3685317993164063	-16.302553812662758
-0.36815795898437503	-16.246477762858074
-0.3683822631835938	-16.174825032552086
-0.36808319091796876	-16.11251831054688
-0.3677841186523438	-16.053326924641926
-0.36741027832031253	-15.99102020263672
-0.36748504638671875	-15.931828816731771
-0.3671112060546875	-15.875752766927084
-0.3668121337890625	-15.810330708821615
-0.36658782958984376	-15.751139322916666
-0.36651306152343754	-15.69506327311198
-0.366064453125	-15.642102559407554
-0.36598968505859375	-15.582911173502607
-0.36569061279296877	-15.523719787597656
-0.3653915405273438	-15.47387440999349
-0.36524200439453125	-15.414683024088543
-0.3648681640625	-15.364837646484375
-0.3647186279296875	-15.302530924479168
-0.36434478759765626	-15.252685546875
-0.363970947265625	-15.199724833170574
